name,description,url,Caliber,System,Mag. Capacity,Barrel Length,Trigger Pull***,Weight_without_magazine,Weight_with_empty_magazine,Weight_with_loaded_magazine,Dimension_LENGTH (OVERALL)*,Dimension_SLIDE LENGTH,Dimension_WIDTH (OVERALL),Dimension_SLIDE WIDTH,Dimension_HEIGHT INCL. MAG.,Dimension_,Dimension_Sight Radius POLYMER,Dimension_Sight Radius STEEL,Dimension_Sight Radius GNS,Dimension_TRIGGER DISTANCE*
G45,"The compact crossover pistol G45 in 9x19mm combines a compact slide with a full size frame and has all the benefits of a Gen5 model. Utilizing the design and engineering GLOCK developed for its military pistol (G19X), combined with Operator and worldwidespecifications.

The slide has the proven, superior GLOCK hard-surface in non-reflective black. It comes with (FS) which provide an additional tactile surface choice when manipulating the slide giving the operator positive traction even with wet or sweaty hand. The frame is also subdued black, with a flared magazine well for fast reloads in critical situations. Additional features include the smoother trigger pull, the enhanced texture for sure handling, a reversible magazine catch, ambidextrous slide stop lever, the (MBS) for individual ajustability and the incredibly accurate, reliable (GMB).

With the G45 GLOCK has - tested, proven and unmatched by any others.",https://eu.glock.com/en/products/pistols/g45,9 mm Luger,Safe Action®,Standard: 17 | Optional: 19 / 24 / 31 / 33,102 mm | 4.02 inch,26 N,without magazine | 616 g | 21.73 oz,with empty magazine | 694 g | 24.48 oz,with loaded magazine** | 860 g | 30.34 oz,189 mm | 7.44 inch,174 mm | 6.85 inch,34 mm | 1.34 inch,"25,5 mm | 1.0 inch",139 mm | 5.47 inch,,153 mm | 6.02 inch,152 mm | 5.98 inch,151 mm | 5.94 inch,70 mm | 2.76 inch
G45,"The compact crossover pistol G45 MOS in 9x19mm combines a compact slide with a full size frame and has all the benefits of a Gen5 model. The slide in MOS Configuration makes it easy to mount a miniature reflex sight on the pistol’s slide without the need for a new slide or separate mounting system. Utilizing the design and engineering GLOCK developed for its military pistol (G19X), combined with Operator and worldwidespecifications.

The slide has the proven, superior GLOCK hard-surface  in non-reflective black. It comes with (FS) which provide an additional tactile surface choice when manipulating the slide giving the operator positive traction even with wet or sweaty hand. The frame is also subdued black, with a flared magazine well for fast reloads in critical situations. Additional features include the smoother trigger pull, the enhanced texture for sure handling, a reversible magazine catch, ambidextrous slide stop lever, the (MBS) for individual ajustability and the incredibly accurate, reliable (GMB).

With the G45 MOS GLOCK has - tested, proven and unmatched by any others.",https://eu.glock.com/en/products/pistols/g45-mos,9 mm Luger,Safe Action®,Standard: 17 | Optional: 19 / 24 / 31 / 33,102 mm | 4.02 inch,26 N,without magazine | 616 g | 21.73 oz,with empty magazine | 695 g | 24.52 oz,with loaded magazine** | 860 g | 30.34 oz,189 mm | 7.44 inch,174 mm | 6.85 inch,34 mm | 1.34 inch,"25,5 mm | 1.0 inch",139 mm | 5.47 inch,,157 mm | 6.18 inch,156 mm | 6.14 inch,155 mm | 6.10 inch,70 mm | 2.76 inch
G45,The Crossover model in 9mm Luger is now available in a special olive-green finish. The pistol combines the full-size frame of the G17 with a compact G19 slide while the MOS configuration allows for easy mounting of optical sights. It comes with a threaded barrel and an extended floor plate.,https://eu.glock.com/en/products/pistols/g45-mos-hunter-edition,9 mm Luger,Safe Action®,Standard: 17 | Optional: 19 / 24 / 31 / 33,117 mm I 4.61 inch,26 N,without magazine | 640 g I 22.58 oz,with empty magazine | 725 g I 25.57 oz,with loaded magazine** | 940 g I 33.16 oz,204 mm I 8.03 inch,174 mm I 6.85 inch,34 mm I 1.34 inch,25.5 mm I 1.00 inch,148 mm I 5.83 inch,,157 mm I 6.18 inch,156 mm I 6.14 inch,155 mm I 6.10 inch,70 mm I 2.76 inch
G47,"The G47 MOS with its no-compromise design, combines all the features demanded of the modern handgun of today – and of tomorrow! This standard size pistol combines a GLOCK 17 Gen5 MOS slide with a G45 frame.

The slide has the proven, superior GLOCK nDLC finish. The frame with a flared magazine well completely encircles the front of the grip. Fast reloads in critical situations can be performed with speed and efficiency. Additionally, there are forward serrations precision-milled near the front, forward of the ejection port on both sides.",https://eu.glock.com/en/products/pistols/g47-mos,9 mm Luger,Safe Action®,Standard: 17 | Optional: 17 / 19 / 24 / 31 / 33,114 mm | 4.49 inch,26 N,without magazine | 658 g | 23.21 oz,with empty magazine | 735 g | 25.93 oz,with loaded magazine** | 972 g | 34.29 oz,202 mm | 7.95 inch,186 mm | 7.32 inch,34 mm | 1.34 inch,"25,5 mm | 1.00 inch",139 mm | 5.47 inch,,169 mm | 6.65 inch,168 mm | 6.61 inch,167 mm | 6.57 inch,70 mm | 2.76 inch
G48,,https://eu.glock.com/en/products/pistols/g48-mos,9 mm Luger,Safe Action®,Standard: 10,106 mm | 4.17 inch,24 N,without magazine | 519 g | 18.31 oz,with empty magazine | 584 g | 20.60 oz,with loaded magazine** | 708 g | 24.97 oz,185 mm | 7.28 inch,174 mm | 6.85 inch,28 mm | 1.10 inch,22 mm | 0.87 inch,128 mm | 5.04 inch,,152 mm | 5.98 inch,151 mm | 5.94 inch,150 mm | 5.91 inch inch,67 mm | 2.64 inch
G48,"Chambered in 9 mm Luger the G48 Rail features a compact Slimline frame with a slim mounting rail and a black slide with nDLC finish as well as a 10-round magazine capacity making it ideal for concealed carry.

The G48 Rail is of similar length and height as the G19 but the width of the pistol is reduced for increased concealability and better carrying comfort.

The frame features the GLOCK Mounting rail slim for mounting tactical accessories and incorporates elements of the Slimline series such the short trigger distance, a frame with a built-in beavertail, a reversible magazine catch and the incredibly accurate, match-grade GLOCK Marksman Barrel (GMB) of the Gen5 series. The G48 Rail also features precision-milled front serrations.

The slim (01) magazine is built in reliable GLOCK style, it has an orange magazine follower for higher visibility and is specifically developed to ensure the 10 rds magazine capacity.

Engineered with the GLOCK perfection promise, this Slimline pistol model features the Safe Action System and will soon be available as a combo version with specific tactical light.",https://eu.glock.com/en/products/pistols/g48-rail,9 mm Luger,Safe Action®,Standard: 10,106 mm | 4.17 inch,24 N,without magazine | 524 g | 18.48 oz,with empty magazine | 588 g | 20.74 oz,with loaded magazine** | 712 g | 25.12 oz,185 mm | 7.28 inch,174 mm | 6.85 inch,28 mm | 1.10 inch,22 mm | 0.87 inch,128 mm | 5.04 inch,,152 mm | 5.98 inch,151 mm | 5.94 inch,150 mm | 5.91 inch,67 mm | 2.64 inch
G48,"The G48 in caliber 9mm Luger is of similar length and height as the G19 but the width of the pistol is reduced for increased concealability and high carrying comfort.

The of the of the G48 is .

The G48 comes with a with and features the .",https://eu.glock.com/en/products/pistols/g48-silver-slide,9 mm Luger,Safe Action®,Standard: 10,106 mm | 4.17 inch,24 N,without magazine | 524 g | 18.48 oz,with empty magazine | 588 g | 20.74 oz,with loaded magazine** | 712 g | 25.12 oz,185 mm | 7.28 inch,174 mm | 6.85 inch,28 mm | 1.10 inch,22 mm | 0.87 inch,128 mm | 5.04 inch,,152 mm | 5.98 inch,151 mm | 5.94 inch,150 mm | 5.91 inch,67 mm | 2.64 inch
G17,GLOCK cutaway models are produced for technical and firearms’ training and clearly illustrate the ingeniously simple internal mechanisms of the GLOCK pistol.,https://eu.glock.com/en/products/pistols/g17-gen4-cut,9 mm Luger,Safe Action®,Standard:,114 mm | 4.49 inch,28 N,without magazine | 520 g | 18.34 oz,with empty magazine | 600 g | 21.16 oz,with loaded magazine** | —,202 mm | 7.95 inch,186 mm | 7.32 inch,32 mm | 1.26 inch,"25,5 mm | 1.0 inch",139 mm | 5.47 inch,,165 mm | 6.50 inch,164 mm | 6.46 inch,163 mm | 6.42 inch,70 mm | 2.76 inch
G17,"GLOCK cutaway models are produced for technical and firearms’ training and clearly illustrate the ingeniously simple internal mechanisms of the GLOCK pistol. The G17 Gen5 Cut pistol has cutouts on the slide and frame that give the option to visually see the revolutionary Safe Action System. The perfect model for training classes, presentations and trade fairs.",https://eu.glock.com/en/products/pistols/g17-gen5-cut,9 mm Luger,Safe Action®,Standard:,114 mm | 4.49 inch,26 N,without magazine | 525 g | 18.52 oz,with empty magazine | 605 g | 21.34 oz,with loaded magazine** | —,202 mm | 7.95 inch,186 mm | 7.32 inch,34 mm | 1.34 inch,"25,5 mm | 1.0 inch",139 mm | 5.47 inch,,165 mm | 6.50 inch,164 mm | 6.46 inch,163 mm | 6.42 inch,70 mm | 2.76 inch
G17P,"Proper grip, loading and unloading, sight alignment, trigger squeeze and disassembling are all part of a shooter's training routine. The GLOCK Practice Pistol was developed to eliminate dangerous scenarios during training exercises. Identical to a GLOCK pistol in handling, weight, size and balance, it puts the real thing in your hand, without any firing capability.",https://eu.glock.com/en/products/pistols/g17-p,9 mm Luger,Safe Action®,Standard: 17,114 mm | 4.49 inch,28 N,without magazine | 625 g | 22.05 oz,with empty magazine | 705 g | 24.87 oz,with loaded magazine** | 915 g | 32.28 oz,204 mm | 8.03 inch,186 mm | 7.32 inch,32 mm | 1.26 inch,"25,5 mm | 1.0 inch",139 mm | 5.47 inch,,165 mm | 6.50 inch,164 mm | 6.46 inch,163 mm | 6.42 inch,72 mm | 2.83 inch
G17P,"Proper grip, loading and unloading, sight alignment, trigger squeeze and disassembling are all part of a shooter's training routine. The GLOCK 17P Gen5 practice pistol was developed to eliminate dangerous scenarios during training exercises. Identical to a GLOCK pistol in handling, weight, size and balance, it puts the real thing in your hand, without any firing capability.

The GLOCK Practice pistols of the Gen5 have a new red colored coating for the slide which makes them recognizable as a training tool at the first glance.",https://eu.glock.com/en/products/pistols/g17p-gen5,9 mm Luger,Safe Action®,Standard: 17,114 mm | 4.49 inch,26 N,without magazine | 630 g | 22.22 oz,with empty magazine | 708 g | 24.97 oz,with loaded magazine** | 945 g | 33.33 oz,202 mm | 7.95 inch,186 mm | 7.32 inch,34 mm | 1.34 inch,25.5 mm | 1.0 inch,139 mm | 5.47 inch,,165 mm | 6.50 inch,164 mm | 6.46 inch,163 mm | 6.42 inch,70 mm | 2.76 inch
G19,GLOCK cutaway models are produced for technical and firearms’ training and clearly illustrate the ingeniously simple internal mechanisms of the GLOCK pistol.,https://eu.glock.com/en/products/pistols/g19-gen4-cut,9 mm Luger,Safe Action®,Standard:,102 mm | 4.02 inch,28 N,without magazine | 500 g | 17.64 oz,with empty magazine | 565 g | 19.93 oz,with loaded magazine** | —,185 mm | 7.28 inch,174 mm | 6.85 inch,32 mm | 1.26 inch,"25,5 mm | 1.0 inch",128 mm | 5.04 inch,,153 mm | 6.02 inch,152 mm | 5.98 inch,151 mm | 5.94 inch,70 mm | 2.76 inch
G19,"GLOCK cutaway models are produced for technical and firearms’ training and clearly illustrate the ingeniously simple internal mechanisms of the GLOCK pistol. The G19 Gen5 Cut pistol has cutouts on the slide and frame that give the option to visually see the revolutionary Safe Action System. The perfect model for training classes, presentations and trade fairs.",https://eu.glock.com/en/products/pistols/g19-gen5-cut,9 mm Luger,Safe Action®,Standard:,102 mm | 4.02 inch,26 N,without magazine | 515 g | 18.17 oz,with empty magazine | 575 g | 20.28 oz,with loaded magazine** | —,185 mm | 7.28 inch,174 mm | 6.85 inch,34 mm | 1.34 inch,"25,5 mm | 1.0 inch",128 mm | 5.04 inch,,153 mm | 6.02 inch,152 mm | 5.98 inch,151 mm | 5.94 inch,70 mm | 2.76 inch
G19P,"Proper grip, loading and unloading, sight alignment, trigger squeeze and disassembling are all part of a shooter's training routine. The GLOCK 19P Gen5 practice pistol was developed to eliminate dangerous scenarios during training exercises. Identical to a GLOCK pistol in handling, weight, size and balance, it puts the real thing in your hand, without any firing capability.

The GLOCK Practice pistols of the Gen5 have a new red colored coating for the slide which makes them recognizable as a training tool at the first glance.",https://eu.glock.com/en/products/pistols/g19p-gen5,9 mm Luger,Safe Action®,Standard: 15,102 mm | 4.02 inch,26 N,without magazine | 610 g | 21.52 oz,with empty magazine | 670 g | 23.63 oz,with loaded magazine** | 855 g | 30.16 oz,185 mm | 7.28 inch,174 mm | 6.85 inch,34 mm | 1.34 inch,25.5 mm | 1.0 inch,128 mm | 5.04 inch,,153 mm | 6.02 inch,152 mm | 5.98 inch,151 mm | 5.94 inch,70 mm | 2.76 inch
G26,GLOCK cutaway models are produced for technical and firearms’ training and clearly illustrate the ingeniously simple internal mechanisms of the GLOCK pistol.,https://eu.glock.com/en/products/pistols/g26-cut,9 mm Luger,Safe Action®,Standard:,87 mm | 3.43 inch,28 N,without magazine | 460 g | 16.23 oz,with empty magazine | 515 g | 18.17 oz,with loaded magazine** | —,165 mm | 6.50 inch,159 mm | 6.26 inch,32 mm | 1.26 inch,"25,5 mm | 1.0 inch",106 mm | 4.17 inch,,137 mm | 5.39 inch,136 mm | 5.35 inch,135 mm | 5.31 inch,72 mm | 2.83 inch
G45P,"Proper grip, loading and unloading, sight alignment, trigger squeeze and disassembling are all part of a shooter's training routine. The GLOCK Practice pistol was developed to eliminate dangerous scenarios during training exercises.

Identical to the GLOCK pistol G45 in handling, weight, size and balance, it puts the real thing in your hand, without any firing capability.

The GLOCK Practice pistol G45P has a new red colored coating for the slide which makes it recognizable as a training tool at the first glance.",https://eu.glock.com/en/products/pistols/g45-p,9 mm Luger,Safe Action®,Standard: 17 | Optional: 17,102 mm | 4.02 inch,26 N,without magazine | 615 g | 21.69 oz,with empty magazine | 695 g | 24.52 oz,with loaded magazine** | 860 g | 30.34 oz,189 mm | 7.44 inch,174 mm | 6.85 inch,34 mm | 1.34 inch,"25,5 mm | 1.0 inch",139 mm | 5.47 inch,,153 mm | 6.02 inch,152 mm | 5.98 inch,151 mm | 5.94 inch,70 mm | 2.76 inch
G44,"Once you start with perfection – you stay with perfection. The G44 is the ideal pistol to start or enhance your shooting career at the range. The perfect mix of polymer and steel gives the experience of shooting a GLOCK pistol while handling a lightweight low recoil handgun.

The G44 is a compact size rimfire pistol you can adapt to nearly every hand size by using the different backstraps supplied with the pistol. It is tested with a broad range of ammunition and its GLOCK Marksman barrel stands for high precision.

The right equipment is essential, the G44 comes with adjustable slim polymer rear sights, two magazines with loading assist, a screwdriver for the sights, a new cleaning kit for the smaller barrel and a set of beavertail backstraps. Everything a well prepared shooter needs.",https://eu.glock.com/en/products/pistols/g44,22 l.r.,Safe Action®,Standard: 10,102 mm | 4.02 inch,26 N,without magazine | 358 g | 12.63 oz,with empty magazine | 415 g  | 14.64 oz,with loaded magazine** | 465 g | 16.40 oz,185 mm | 7.28 inch,174 mm | 6.85 inch,32 mm | 1.26 inch,"25,5 mm | 1.00 inch",128 mm | 5.04 inch,,153 mm | 6.02 inch 158 mm | 6.22 inch (adjustable),152 mm | 5.98 inch,151 mm | 5.94 inch,70 mm | 2.76 inch
G22,"By far the most popular police service pistol in the United States, the GLOCK 22 fires the potent 40 S&W cartridge and holds more rounds for its size and weight than most other full-sized handgun in its class.",https://eu.glock.com/en/products/pistols/g22,40 S&W,Safe Action®,Standard: 15 | Optional: 22 / 16 / 10,114 mm | 4.49 inch,28 N,without magazine | 645 g | 22.75 oz,with empty magazine | 725 g | 25.57 oz,with loaded magazine** | 975 g | 34.39 oz,204 mm | 8.03 inch,186 mm | 7.32 inch,32 mm | 1.26 inch,"25,5 mm | 1.0 inch",139 mm | 5.47 inch,,165 mm | 6.50 inch,164 mm | 6.46 inch,163 mm | 6.42 inch,"71,5 mm | 2.81 inch"
G22,The 40 S&W caliber closes the gap between the heavy 45 Auto calibers and the 9 mm Luger service calibers. GLOCK was the first manufacturer to make the advantages of this balanced caliber accessible to law enforcement agencies. By applying the Gen4 technology with the Modular Beavertail Backstrap System and the reversible magazine catch to this pistol model the user may instantly customize its grip.,https://eu.glock.com/en/products/pistols/g22-gen4,40 S&W,Safe Action®,Standard: 15 | Optional: 16 / 22 / 10,114 mm | 4.49 inch,28 N,without magazine | 645 g | 22.75 oz,with empty magazine | 725 g | 25.57 oz,with loaded magazine** | 975 g | 34.39 oz,202 mm | 7.95 inch,186 mm | 7.32 inch,32 mm | 1.26 inch,"25,5 mm | 1.0 inch",139 mm | 5.47 inch,,165 mm | 6.50 inch,164 mm | 6.46 inch,163 mm | 6.42 inch,70 mm | 2.76 inch
G22,"The 40 S&W caliber closes the gap between the heavy 45 Auto calibers and the 9 mm Luger service calibers. GLOCK was the first manufacturer to make the advantages of this balanced caliber accessible to law enforcement agencies.

With the release of the full-size model G22 Gen5 the newest generation GLOCK standard is now available in 40 S&W.

By applying the Gen5 technology this model comes with nDLC finish, a flared magwell, the proven GLOCK Marksman barrel (GMB) and an ambidextrous slide stop lever.

Adjustable like the Gen4 model the frame of the G22 Gen5 features the Modular Beavertail Backstraps System (MBS) and comes with a reversible magazine catch.

Note: The slide width of the 40 S&W Gen5 models is slightly bigger compared to the previous generation. Please consider when choosing your holster.",https://eu.glock.com/en/products/pistols/g22-gen5,40 S&W,Safe Action®,Standard: 15,114 mm | 4.49 inch,26 N,without magazine | 732 g | 25.82 oz,with empty magazine | 806 g | 28.43 oz,with loaded magazine** | 1058 g | 37.32 oz,202 mm | 7.95 inch,186 mm | 7.32 inch,34 mm | 1.34 inch,27.5 mm | 1.08 inch,140 mm | 5.51 inch,,164 mm | 6.46 inch,163 mm | 6.42 inch,162 mm | 6.38 inch,70 mm | 2.76 inch
G22,"The 40 S&W caliber closes the gap between the heavy 45 Auto calibers and the 9 mm Luger service calibers. GLOCK was the first manufacturer to make the advantages of this balanced caliber accessible to law enforcement agencies.

With the release of the full-size model G22 Gen5 MOS the newest generation GLOCK standard is now available in 40 S&W.

By applying the Gen5 technology this model comes with nDLC finish, a flared magwell, the proven GLOCK Marksman barrel (GMB) and an ambidextrous slide stop lever.

Adjustable like the Gen4 model the frame of the G22 Gen5 MOS features the Modular Beavertail Backstrap System (MBS) and comes with a reversible magazine catch.

This model comes with a GLOCK MOS adapter plate for easy mounting of optical sights.

Note: The slide width of the 40 S&W Gen5 models is slightly bigger compared to the previous generation. Please consider when choosing your holster.",https://eu.glock.com/en/products/pistols/g22-gen5-mos,40 S&W,Safe Action®,Standard: 15,114 mm | 4.49 inch,26 N,without magazine | 732 g | 25.82 oz,with empty magazine | 806 g | 28.43 oz,with loaded magazine** | 1058 g | 37.32 oz,202 mm | 7.95 inch,186 mm | 7.32 inch,34 mm | 1.34 inch,27.5 mm | 1.08 inch,140 mm | 5.51 inch,,168 mm | 6.61 inch,167 mm | 6.57 inch,166 mm | 6.54 inch,70 mm | 2.76 inch
G23,"The GLOCK 23 combines compact dimensions for both open and concealed carry, with minimum weight, despite its substantial magazine capacity in 40 S&W caliber. Having survived endurance tests and use by numerous Law Enforcement agencies, the G23 pistol has repeatedly demonstrated its world-class durability and reliability in the most adverse conditions.",https://eu.glock.com/en/products/pistols/g23,40 S&W,Safe Action®,Standard: 13 | Optional: 14 / 15 / 16 / 22 / 10,102 mm | 4.02 inch,28 N,without magazine | 600 g | 21.16 oz,with empty magazine | 670 g | 23.63 oz,with loaded magazine** | 885 g | 31.22 oz,187 mm | 7.36 inch,174 mm | 6.85 inch,32 mm | 1.26 inch,"25,5 mm | 1.0 inch",128 mm | 5.04 inch,,153 mm | 6.02 inch,152 mm | 5.98 inch,151 mm | 5.94 inch,"71,2 mm | 2.80 inch"
G23,"GLOCK’s compact 40 S&W, equivalent of the GLOCK 19 Gen4, puts controllable power into an ideally-sized package—substantial enough for police patrol, small enough for discreet and comfortable all-day concealed carry. It is the top choice for professionals who work undercover. The Modular Beavertail Backstrap System makes it possible to instantly customize its grip to accommodate any hand size. The reversible magazine catch makes it ideal for left and right-handed shooters.",https://eu.glock.com/en/products/pistols/g23-gen4,40 S&W,Safe Action®,Standard: 13 | Optional: 14 / 15 / 16 / 22 / 10,102 mm | 4.02 inch,28 N,without magazine | 605 g | 21.34 oz,with empty magazine | 675 g | 23.81 oz,with loaded magazine** | 890 g | 31.39 oz,185 mm | 7.28 inch,174 mm | 6.85 inch,32 mm | 1.26 inch,"25,5 mm | 1.0 inch",128 mm | 5.04 inch,,153 mm | 6.02 inch,152 mm | 5.98 inch,151 mm | 5.94 inch,70 mm | 2.76 inch
G23,"GLOCK’s compact 40 S&W, equivalent of the GLOCK 19 Gen5, puts controllable power into an ideally-sized package - substantial enough for police patrol, small enough for discreet and comfortable all-day concealed carry. It is the top choice for professionals who work undercover.

With the release of the G23 Gen5 the newest generation GLOCK standard is now available in 40 S&W.

By applying the Gen5 technology this model comes with nDLC finish, a flared mag-well, the proven GLOCK Marksman barrel (GMB) and an ambidextrous slide stop lever. 

Adjustable like the Gen4 model the frame of the G23 Gen5 features the Modular Beavertail Backstrap System (MBS) and comes with a reversible magazine catch.

Note: The slide width of the 40 S&W Gen5 models is slightly bigger compared to the previous generation. Please consider when choosing your holster.",https://eu.glock.com/en/products/pistols/g23-gen5,40 S&W,Safe Action®,Standard: 13 | Optional: 15,102 mm | 4.02 inch,26 N,without magazine | 687 g | 24.23 oz,with empty magazine | 756 g | 26.67 oz,with loaded magazine** | 974 g | 34.36 oz,185 mm | 7.28 inch,174 mm | 6.85 inch,34 mm | 1.34 inch,27.5 mm | 1.08 inch,129 mm | 5.08 inch,,152 mm | 5.98 inch,151 mm | 5.94 inch,150 mm | 5.91 inch,70 mm | 2.76 inch
G23,"GLOCK’s compact 40 S&W, equivalent of the GLOCK 19 Gen5, puts controllable power into an ideally-sized package - substantial enough for police patrol, small enough for discreet and comfortable all-day concealed carry. It is the top choice for professionals who work undercover. 

With the release of the G23 Gen5 the newest generation GLOCK standard is now available in 40 S&W.

By applying the Gen5 technology this model comes with nDLC finish, a flared mag-well, the proven GLOCK Marksman barrel (GMB) and an ambidextrous slide stop lever. 

Adjustable like the Gen4 model the frame of the G23 Gen5 features the Modular Beavertail Backstrap System (MBS) and comes with a reversible magazine catch.

This model comes with a GLOCK MOS adapter plate for easy mounting of optical sights.

Note: The slide width of the 40 S&W Gen5 models is slightly bigger compared to the previous generation. Please consider when choosing your holster.",https://eu.glock.com/en/products/pistols/g23-gen5-mos,40 S&W,Safe Action®,Standard: 13 | Optional: 15,102 mm | 4.02 inch,26 N,without magazine | 687 g | 24.23 oz,with empty magazine | 756 g | 26.67 oz,with loaded magazine** | 974 g | 34.36 oz,185 mm | 7.28 inch,174 mm | 6.85 inch,34 mm | 1.34 inch,27.5 mm | 1.08 inch,129 mm | 5.08 inch,,156 mm | 6.14 inch,155 mm | 6.10 inch,154 mm | 6.06 inch,70 mm | 2.76 inch
G24,The long slide and barrel design combined with the 40 S&W caliber cartridge make this GLOCK a great choice for a multitude of shooting activities.,https://eu.glock.com/en/products/pistols/g24,40 S&W,Safe Action®,Standard: 15 | Optional: 16 / 22 / 10,153 mm | 6.02 inch,28 N,without magazine | 760 g | 26.81 oz,with empty magazine | 840 g | 29.63 oz,with loaded magazine** | 1090 g | 38.45 oz,243 mm | 9.57 inch,225 mm | 8.86 inch,33 mm | 1.30 inch,"25,5 mm | 1.0 inch",139 mm | 5.47 inch,,205 mm | 8.07 inch,204 mm | 8.03 inch,203 mm | 7.99 inch,"71,5 mm | 2.81 inch"
G27,"Amazingly accurate and controllable, the GLOCK 27 puts 10 rounds of 40 S&W caliber at your fingertips in a package small enough for a pocket or ankle holster.",https://eu.glock.com/en/products/pistols/g27,40 S&W,Safe Action®,Standard: 9 | Optional: 10 / 15 / 16 / 13 / 14 / 22,87 mm | 3.43 inch,28 N,without magazine | 550 g | 19.40 oz,with empty magazine | 605 g | 21.34 oz,with loaded magazine** | 750 g | 26.46 oz,165 mm | 6.50 inch,159 mm | 6.26 inch,32 mm | 1.26 inch,"25,5 mm | 1.0 inch",106 mm | 4.17 inch,,137 mm | 5.39 inch,136 mm | 5.35 inch,135 mm | 5.31 inch,72 mm | 2.83 inch
G27,"The GLOCK 27 Gen4, in 40 S&W, introduces innovative design changes to this small, light, accurate and powerful pistol that so many U.S. law enforcement agencies have chosen as their official backup weapon. The Modular Beavertail Backstrap design and the reversible magazine catch make it possible to instantly customize its grip to accommodate any hand size. The surface of the frame employs the new Gen4 rough textured technology. A reversible enlarged magazine catch, easily changeable accommodates left and right-handed operators.",https://eu.glock.com/en/products/pistols/g27-gen4,40 S&W,Safe Action®,Standard: 9 | Optional: 10 / 15 / 16 / 13 / 14 / 22,87 mm | 3.43 inch,28 N,without magazine | 550 g | 19.40 oz,with empty magazine | 605 g | 21.34 oz,with loaded magazine** | 750 g | 26.46 oz,163 mm | 6.42 inch,159 mm | 6.26 inch,32 mm | 1.26 inch,"25,5 mm | 1.0 inch",106 mm | 4.17 inch,,137 mm | 5.39 inch,136 mm | 5.35 inch,135 mm | 5.31 inch,70 mm | 2.76 inch
G27,"With the release of the GLOCK 27 Gen5 in 40 S&W the Gen5 family gets a new member. The innovative Gen5 design changes are added to this small, light, accurate and powerful pistol that so many U.S. law enforcement agencies have chosen as their official backup weapon. 

By applying the Gen5 technology this model comes with nDLC finish, the proven GLOCK Marksman barrel (GMB) and an ambidextrous slide stop lever. 

Adjustable like the Gen4 model the subcompact frame of the G27 Gen5 features the Modular Beavertail Backstrap System (MBS) and comes with a reversible magazine catch to accommodate left and right-handed operators.

Note: The slide width of the 40 S&W Gen5 models is slightly bigger compared to the previous generation. Please consider when choosing your holster.",https://eu.glock.com/en/products/pistols/g27-gen5,40 S&W,Safe Action®,Standard: 9 | Optional: 13,87 mm | 3.43 inch,26 N,without magazine | 621 g | 21.91 oz,with empty magazine | 676 g | 23.85 oz,with loaded magazine** | 827 g | 29.17 oz,163 mm | 6.42 inch,159 mm | 6.26 inch,33 mm | 1.30 inch,27.5 mm | 1.08 inch,107 mm | 4.21 inch,,137 mm | 5.39 inch,136 mm | 5.35 inch,135 mm | 5.31 inch,70 mm | 2.76 inch
G35,"With its extended barrel and extra long line of sight, the GLOCK 35 allows accurate hit patterns even during rapid firing. This has made the GLOCK 35 a widespread model among members of the practical shooting community.",https://eu.glock.com/en/products/pistols/g35,40 S&W,Safe Action®,Standard: 15 | Optional: 16 / 22 / 10 / 15,135 mm | 5.31 inch,24 N,without magazine | 700 g | 24.69 oz,with empty magazine | 780 g | 27.51 oz,with loaded magazine** | 1030 g | 36.33 oz,224 mm | 8.82 inch,207 mm | 8.15 inch,33 mm | 1.30 inch,"25,5 mm | 1.0 inch",139 mm | 5.47 inch,,192 mm | 7.56 inch,191 mm | 7.52 inch,190 mm | 7.48 inch,72 mm | 2.83 inch
G35,"With its extended barrel and extra long line of sight, the GLOCK 35 Gen4 allows accurate hit patterns even during rapid firing. The Modular back strap system makes it possible to instantly customize its grip to accommodate any hand size. The reversible magazine catch makes it ideal for left and right-handed shooters.",https://eu.glock.com/en/products/pistols/g35-gen4,40 S&W,Safe Action®,Standard: 15 | Optional: 16 / 22 / 10 / 15,135 mm | 5.31 inch,24 N,without magazine | 705 g | 24.87 oz,with empty magazine | 785 g | 27.69 oz,with loaded magazine** | 1035 g | 36.51 oz,222 mm | 8.74 inch,207 mm | 8.15 inch,33 mm | 1.30 inch,"25,5 mm | 1.0 inch",139 mm | 5.47 inch,,192 mm | 7.56 inch,191 mm | 7.52 inch,190 mm | 7.48 inch,70 mm | 2.76 inch
G35,"The GLOCK 35 Gen4 in MOS configuration combines an extended barrel, longer slide dimensions and elongated distance between the sights with the MOS concept, making it easy to mount a reflex sight on the pistol’s slide without the need for a new slide or separate mounting system. The Modular Beavertail Backstrap System makes it possible to instantly customize its grip to accommodate any hand size. The reversible magazine catch makes it ideal for left and right-handed shooters.",https://eu.glock.com/en/products/pistols/g35-gen4-mos,40 S&W,Safe Action®,Standard: 15 | Optional: 16 / 22 / 10 / 15,135 mm | 5.31 inch,24 N,without magazine | 705 g | 24.87 oz,with empty magazine | 785 g | 27.69 oz,with loaded magazine** | 1030 g | 36.33 oz,222 mm | 8.74 inch,207 mm | 8.15 inch,33 mm | 1.30 inch,"25,5 mm | 1.0 inch",139 mm | 5.47 inch,,191 mm | 7.52 inch,190 mm | 7.48 inch,189 mm | 7.44 inch,70 mm | 2.76 inch
